Outcome measures (specific),Cluster general ,Mapping Cluster general,Mapping Agronomy cluster,Crop type studied,Cluster
microbiological viable spores,Disease incidence & severity,,,,
disease severity index (%),Disease incidence & severity,,,,
root colonization (microbiological),Disease incidence & severity,,,,
total pigment concentration,Metabolism,,,,
flower fresh mass,Morphometrics,,,,
number of nodules,Pest incidence & severity,,,,
N/A; no statistical test,,,,,
NDVI,Physiology,,,,
soil analysis (not further specified),Soil fertility,,,,
grain yield,Morphometrics,,,,
number of pods per plant,Morphometrics,,,,
thousand grain weight,Morphometrics,,,,
number of pods with anthrocnose,Disease incidence & severity,,,,
shoot fresh mass,Morphometrics,,,,
shoot dry mass,Morphometrics,,,,
inflorescence fresh mass,Morphometrics,,,,
inflorescence dry mass,Morphometrics,,,,
photosynthesis rate,Physiology,,,,
relative growth rate,Morphometrics,,,,
egg masses,Pest incidence & severity,,,,
larvae alive,Pest incidence & severity,,,,
peroxidase,Metabolism,,,,
polyphenoloxidase,Metabolism,,,,
phenylalanine ammonia-lyase,Metabolism,,,,
number of fruit/harvest infected,Pest incidence & severity,,,,
number of fruit/harvest healthy,Morphometrics,,,,
number of concentric rings from fungus,Disease incidence & severity,,,,
number of winged aphids,Pest incidence & severity,,,,
number of nymphs per colony,Pest incidence & severity,,,,
shoot ratio,Morphometrics,,,,
root ratio,Morphometrics,,,,
fruit ratio,Morphometrics,,,,
number of leaf lesions,Disease incidence & severity,,,,
number of spores,Disease incidence & severity,,,,
"germination time, average",Physiology,,,,
leaf disc turgid weight,Physiology,,,,
leaf disc fresh weight,Physiology,,,,
leaf disc dry weight,Physiology,,,,
caterpillar wing length,Entomology,,,,
caterpillar fecundity of the females (% of viable eggs),Pest incidence & severity,,,,
fruit diameter,Morphometrics,,,,
leafs infected (%),Pest incidence & severity,,,,
NH4 content in soil leachate,Soil fertility,,,,
NO3 content in soil leachate,Soil fertility,,,,
mineral N content in soil leachate,Soil fertility,,,,
leachate volume (soil),Soil fertility,,,,
NH4 content in soil,Soil fertility,,,,
NO3 content in soil,Soil fertility,,,,
Al content (aluminium) in soil,Soil fertility,,,,
Ca content in soil,Soil fertility,,,,
organic C content in soil,Soil fertility,,,,
Mn content in soil,Soil fertility,,,,
Cu content in soil,Soil fertility,,,,
N content in aerial parts,Physiology,,,,
P content in aerial parts,Physiology,,,,
K content in aerial parts,Physiology,,,,
Ca content in aerial parts,Physiology,,,,
Mg content in aerial parts,Physiology,,,,
S content in aerial parts,Physiology,,,,
B content in aerial parts,Physiology,,,,
Cu content in aerial parts,Physiology,,,,
Mn content in aerial parts,Physiology,,,,
Zn content in aerial parts,Physiology,,,,
seedlings with cotyledons,Morphometrics,,,,
Dickson Quality Index,Physiology,,,,
total shoot length,Morphometrics,,,,
shoot/root ratio,Morphometrics,,,,
mite infestation severity (%),Pest incidence & severity,,,,
mite incidence (% of leaves),Pest incidence & severity,,,,
total soluble sugar (Brix),Physiology,,,,
total insoluble sugar,Physiology,,,,
no. of dark glands in leaf,Morphometrics,,,,
hypericin in leaf,Metabolism,,,,
vegetative growth (hight over time),Morphometrics,,,,
vegetative growth (days to estimated 50% height),Morphometrics,,,,
"fruit colour (epidermis) - [lightness (L*), chroma (C*) and hue angle (hº)]",Physiology,,,,
fruit texture (pulp firmness) - strentgh to pulp penetration and rupture of the skin,Physiology,,,,
Total number of winged aphids per plant,Pest incidence & severity,,,,
Total number of nymphs,Pest incidence & severity,,,,
weight (g) of caterpillars at the beginning and end of the 4th instar,Entomology,,,,
dry weight (g) of pupa (incorporated biomass),Entomology,,,,
length (cm) of caterpillar in the 4th instar,Entomology,,,,
duration of the egg-adult cycle (days),Entomology,,,,
percentage of adult emergence (%),Entomology,,,,
wing length (cm),Entomology,,,,
female fecundity (% of viable eggs),Entomology,,,,
nutritional value of treated plants,Physiology,,,,
infestation level (egg mass rate) ,Pest incidence & severity,,,,
,,,,,
numbers of eggs and J2 at 100 cm³ of soil,Pest incidence & severity,,,,
number of eggs and J2 presents at the roots,Pest incidence & severity,,,,
number of galls at the roots,Pest incidence & severity,,,,
hatched J2 M. incognita,Pest incidence & severity,,,,
Chemical composition,Physiology,,,,
Principal Componeny Analysis,Physiology,,,,
Adult populations (Insects - Fruit Fly),Entomology,,,,
Fruit infestation (Insects - Imature population - Fruit Fly),Entomology,,,,
Nutrient uptake efficiency,Physiology,,,,
Nutrient translocation efficiency,Physiology,,,,
Nutrient utilization efficiency,Physiology,,,,
